Name,Composer,Miliseconds,Bytes,Album,Artist,Genre,MediaType
For Those About To Rock (We Salute You),"Angus Young, Malcolm Young, Brian Johnson",0,11170334,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file
Balls to the Wall,"U. Dirkschneider, W. Hoffmann, H. Frank, P. Baltes, S. Kaufmann, G. Hoffmann",0,5510424,Balls to the Wall,Accept,Rock,Protected AAC audio file
Fast As a Shark,"F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman",0,3990994,Restless and Wild,Aerosmith,Rock,Protected AAC audio file
Restless and Wild,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",0,4331779,Restless and Wild,Aerosmith,Rock,Protected AAC audio file
Princess of the Dawn,Deaffy & R.A. Smith-Diesel,0,6290521,Restless and Wild,Aerosmith,Rock,Protected AAC audio file
Put The Finger On You,"Angus Young, Malcolm Young, Brian Johnson",0,6713451,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file
Let's Get It Up,"Angus Young, Malcolm Young, Brian Johnson",0,7636561,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file
Inject The Venom,"Angus Young, Malcolm Young, Brian Johnson",0,6852860,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file
Snowballed,"Angus Young, Malcolm Young, Brian Johnson",0,6599424,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file
Evil Walks,"Angus Young, Malcolm Young, Brian Johnson",0,8611245,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file
C.O.D.,"Angus Young, Malcolm Young, Brian Johnson",0,6566314,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file
Breaking The Rules,"Angus Young, Malcolm Young, Brian Johnson",0,8596840,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file
Night Of The Long Knives,"Angus Young, Malcolm Young, Brian Johnson",0,6706347,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file
Spellbound,"Angus Young, Malcolm Young, Brian Johnson",0,8817038,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file
Go Down,AC/DC,0,10847611,Let There Be Rock,Alanis Morissette,Rock,MPEG audio file
Dog Eat Dog,AC/DC,0,7032162,Let There Be Rock,Alanis Morissette,Rock,MPEG audio file
Let There Be Rock,AC/DC,0,12021261,Let There Be Rock,Alanis Morissette,Rock,MPEG audio file
Bad Boy Boogie,AC/DC,0,8776140,Let There Be Rock,Alanis Morissette,Rock,MPEG audio file
Problem Child,AC/DC,0,10617116,Let There Be Rock,Alanis Morissette,Rock,MPEG audio file
Overdose,AC/DC,0,12066294,Let There Be Rock,Alanis Morissette,Rock,MPEG audio file
Hell Ain't A Bad Place To Be,AC/DC,0,8331286,Let There Be Rock,Alanis Morissette,Rock,MPEG audio file
Whole Lotta Rosie,AC/DC,0,10547154,Let There Be Rock,Alanis Morissette,Rock,MPEG audio file
Walk On Water,"Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw",0,9719579,Big Ones,Alice In Chains,Rock,MPEG audio file
Love In An Elevator,"Steven Tyler, Joe Perry",0,10552051,Big Ones,Alice In Chains,Rock,MPEG audio file
Rag Doll,"Steven Tyler, Joe Perry, Jim Vallance, Holly Knight",0,8675345,Big Ones,Alice In Chains,Rock,MPEG audio file
What It Takes,"Steven Tyler, Joe Perry, Desmond Child",0,10144730,Big Ones,Alice In Chains,Rock,MPEG audio file
Dude (Looks Like A Lady),"Steven Tyler, Joe Perry, Desmond Child",0,8679940,Big Ones,Alice In Chains,Rock,MPEG audio file
Janie's Got A Gun,"Steven Tyler, Tom Hamilton",0,10869391,Big Ones,Alice In Chains,Rock,MPEG audio file
Cryin',"Steven Tyler, Joe Perry, Taylor Rhodes",0,10056995,Big Ones,Alice In Chains,Rock,MPEG audio file
Amazing,"Steven Tyler, Richie Supa",0,11616195,Big Ones,Alice In Chains,Rock,MPEG audio file
Blind Man,"Steven Tyler, Joe Perry, Taylor Rhodes",0,7877453,Big Ones,Alice In Chains,Rock,MPEG audio file
Deuces Are Wild,"Steven Tyler, Jim Vallance",0,7074167,Big Ones,Alice In Chains,Rock,MPEG audio file
The Other Side,"Steven Tyler, Jim Vallance",0,7983270,Big Ones,Alice In Chains,Rock,MPEG audio file
Crazy,"Steven Tyler, Joe Perry, Desmond Child",0,10402398,Big Ones,Alice In Chains,Rock,MPEG audio file
Eat The Rich,"Steven Tyler, Joe Perry, Jim Vallance",0,8262039,Big Ones,Alice In Chains,Rock,MPEG audio file
Angel,"Steven Tyler, Desmond Child",0,9989331,Big Ones,Alice In Chains,Rock,MPEG audio file
Livin' On The Edge,"Steven Tyler, Joe Perry, Mark Hudson",0,12374569,Big Ones,Alice In Chains,Rock,MPEG audio file
All I Really Want,Alanis Morissette & Glenn Ballard,0,9375567,Jagged Little Pill,Antônio Carlos Jobim,Rock,MPEG audio file
You Oughta Know,Alanis Morissette & Glenn Ballard,0,8196916,Jagged Little Pill,Antônio Carlos Jobim,Rock,MPEG audio file
Perfect,Alanis Morissette & Glenn Ballard,0,6145404,Jagged Little Pill,Antônio Carlos Jobim,Rock,MPEG audio file
Hand In My Pocket,Alanis Morissette & Glenn Ballard,0,7224246,Jagged Little Pill,Antônio Carlos Jobim,Rock,MPEG audio file
Right Through You,Alanis Morissette & Glenn Ballard,0,5793082,Jagged Little Pill,Antônio Carlos Jobim,Rock,MPEG audio file
Forgiven,Alanis Morissette & Glenn Ballard,0,9753256,Jagged Little Pill,Antônio Carlos Jobim,Rock,MPEG audio file
You Learn,Alanis Morissette & Glenn Ballard,0,7824837,Jagged Little Pill,Antônio Carlos Jobim,Rock,MPEG audio file
Head Over Feet,Alanis Morissette & Glenn Ballard,0,8758008,Jagged Little Pill,Antônio Carlos Jobim,Rock,MPEG audio file
Mary Jane,Alanis Morissette & Glenn Ballard,0,9163588,Jagged Little Pill,Antônio Carlos Jobim,Rock,MPEG audio file
Ironic,Alanis Morissette & Glenn Ballard,0,7598866,Jagged Little Pill,Antônio Carlos Jobim,Rock,MPEG audio file
